n_weeks,regione,consolidation
7,sardegna,96.53878411520418
7,sicilia,97.99694826359736
7,toscana,96.31844863293215
7,umbria,94.87766869910307
7,valle_d_aosta,96.0323131910685
7,veneto,98.53431360159868
8,abruzzo,98.29794052095868
8,basilicata,NA
8,campania,92.61786198119565
8,emilia_romagna,97.68987360211253
8,friuli_venezia_giulia,90.73169340196867
8,lazio,99.359353963774
8,liguria,96.85546266283478
8,lombardia,98.5558808146859
8,marche,92.93270471685138
8,molise,96.2720034460651
8,pa_bolzano,86.99325360616872
8,pa_trento,91.22522644839704
8,piemonte,97.2693867287881
8,puglia,95.17705137196644
8,sardegna,96.37396431116629
8,sicilia,98.34210943018972
8,toscana,96.03985503426004
8,umbria,95.78513093967072
8,valle_d_aosta,96.3314032297499
8,veneto,98.75551999877746
9,abruzzo,98.31440394226263
9,basilicata,NA
9,campania,95.06522271145023
9,emilia_romagna,97.72599213643313
9,friuli_venezia_giulia,90.21597200057548
9,lazio,99.3273216619627
9,liguria,97.18291078623324
9,lombardia,98.44968912121841
9,marche,93.23734117653488
9,molise,96.92439704153561
9,pa_bolzano,89.3558431436621
9,pa_trento,90.47480326258531
9,piemonte,97.41969804950492
9,puglia,95.36667990674279
9,sardegna,96.674647002452
9,sicilia,98.55511327574852
9,toscana,96.08605586426204
9,umbria,95.78968071124925
9,valle_d_aosta,96.1479733912374
9,veneto,98.72116343303665
10,abruzzo,98.24946132854339
10,basilicata,NA
10,campania,95.5786842827642
10,emilia_romagna,97.62571139381983
10,friuli_venezia_giulia,89.70209116330078
10,lazio,99.37142077081586
10,liguria,97.06253965757101
10,lombardia,98.34508564159455
10,marche,92.94167911469333
10,molise,96.76252320161643
10,pa_bolzano,89.60325126470447
10,pa_trento,89.84597924487092
10,piemonte,97.55946117602764
10,puglia,95.33792918404542
10,sardegna,96.4996284236337
10,sicilia,98.662256376894
10,toscana,95.82551752611776
10,umbria,95.88691315777527
10,valle_d_aosta,95.94523514867095
10,veneto,98.77367347867303
11,abruzzo,98.24757685356032
11,basilicata,NA
11,campania,95.45405021438266
11,emilia_romagna,97.53727025966835
11,friuli_venezia_giulia,89.15730556824032
11,lazio,99.42836336540084
11,liguria,96.76760942515234
11,lombardia,98.17112984015358
11,marche,92.72143097222909
11,molise,96.71692880900073
11,pa_bolzano,89.4898597234883
11,pa_trento,89.03981947793731
11,piemonte,97.43915302559898
11,puglia,95.24779698545727
11,sardegna,96.30516333605779
11,sicilia,98.6278970485248
11,toscana,96.1120559182165
11,umbria,96.24310681250319
11,valle_d_aosta,95.71997043470822
