flu_season,year_week,region,number_healthcare_workers,number_cases,population,incidence,cases_0-4,inc_0-4,cases_5-14,inc_5-14,cases_15-64,inc_15-64,cases_65+,inc_65+
2018-2019,2019-08,Apulia,72,588,92391,6.36,88,22.73,120,12.57,308,5.21,72,3.63
2018-2019,2019-08,Basilicata,6,93,7260,12.81,21,22.11,28,12.58,40,12.8,4,4.16
2018-2019,2019-08,Calabria,1,6,717,8.37,3,18.75,3,6.42,0,0,0,0
2018-2019,2019-08,Sicily,68,696,87918,7.92,31,20.2,59,12.08,483,8.07,123,5.67
2018-2019,2019-08,Sardinia,12,47,14289,3.29,10,5.27,11,4.02,23,3.48,3,0.99
2018-2019,2019-09,Piedmont,30,255,42135,6.05,28,22.67,37,9.57,164,6.28,26,2.38
2018-2019,2019-09,Aosta Valley,5,22,6710,3.28,1,2.95,2,3.08,17,4.19,2,1.2
2018-2019,2019-09,Lombardy,88,776,119607,6.49,137,15.84,169,8.38,404,6.24,66,2.54
2018-2019,2019-09,AP Bolzano,7,40,10787,3.71,3,6.68,8,9.84,25,3.58,4,1.58
2018-2019,2019-09,AP Trento,8,101,10649,9.48,33,34.3,22,10.13,36,6.77,10,4.56
2018-2019,2019-09,Veneto,88,530,115199,4.6,65,13.26,113,7.85,310,4.53,42,1.53
2018-2019,2019-09,Friuli-Venezia Giulia,15,80,18058,4.43,21,9.24,14,3.25,38,5.04,7,1.78
2018-2019,2019-09,Liguria,14,107,19237,5.56,13,15.99,12,5.16,68,6.35,14,2.59
2018-2019,2019-09,Emilia-Romagna,58,596,76845,7.76,130,22.92,192,13.18,231,5.91,43,2.46
2018-2019,2019-09,Tuscany,29,286,35561,8.04,58,33.51,62,14.07,144,7.17,22,2.36
2018-2019,2019-09,Umbria,8,158,8582,18.41,66,51.32,83,26.19,8,2.92,1,0.72
2018-2019,2019-09,Marche,13,149,14548,10.24,52,21.89,52,9.76,36,7.58,9,4.3
2018-2019,2019-09,Lazio,97,869,123990,7.01,97,19.74,168,13.06,522,6.72,82,2.87
2018-2019,2019-09,Abruzzo,26,359,30924,11.61,85,34.08,117,25.47,134,7.77,23,3.49
2018-2019,2019-09,Molise,7,38,7991,4.76,6,10.1,7,6.86,18,3.93,7,3.89
2018-2019,2019-09,Campania,25,185,31962,5.79,39,13.8,49,8.76,84,4.59,13,2.48
2018-2019,2019-09,Apulia,87,573,113688,5.04,72,15.85,95,8.57,332,4.51,74,3.03
2018-2019,2019-09,Basilicata,7,54,8851,6.1,7,14.31,10,5.94,32,6.33,5,3.08
2018-2019,2019-09,Calabria,2,14,2374,5.9,2,12.5,6,12.2,5,3.73,1,2.62
2018-2019,2019-09,Sicily,66,554,84363,6.57,18,11.73,40,8.2,368,6.43,128,6.19
2018-2019,2019-09,Sardinia,11,54,12464,4.33,15,8.09,14,5.48,19,3.43,6,2.39
2018-2019,2019-10,Piedmont,30,180,42792,4.21,24,23.12,29,8.69,113,4.21,14,1.21
2018-2019,2019-10,Aosta Valley,4,10,5939,1.68,0,0,0,0,9,2.17,1,0.62
2018-2019,2019-10,Lombardy,93,585,128482,4.55,96,10.22,111,4.98,318,4.58,60,2.19
2018-2019,2019-10,AP Bolzano,7,19,10787,1.76,3,6.68,2,2.46,10,1.43,4,1.58
2018-2019,2019-10,AP Trento,8,66,10560,6.25,13,15.03,14,6.2,32,6.19,7,3.09
2018-2019,2019-10,Veneto,89,334,115141,2.9,35,5.47,55,3.16,208,3.22,36,1.35
2018-2019,2019-10,Friuli-Venezia Giulia,15,40,17790,2.25,8,3.29,7,1.34,22,3.4,3,0.82
2018-2019,2019-10,Liguria,19,88,26015,3.38,1,1.23,6,2.49,59,3.93,22,2.82
2018-2019,2019-10,Emilia-Romagna,55,402,75382,5.33,70,16.17,91,7.47,190,4.64,51,2.84
2018-2019,2019-10,Tuscany,31,246,39789,6.18,46,26.57,47,10.52,134,5.78,19,1.82
2018-2019,2019-10,Umbria,7,68,8013,8.49,24,23.48,31,11.83,13,4.29,0,0
2018-2019,2019-10,Marche,12,103,12990,7.93,25,11.84,25,5.64,48,10.3,5,2.8
2018-2019,2019-10,Lazio,102,701,130271,5.38,90,17.27,133,9.77,427,5.23,51,1.71
2018-2019,2019-10,Abruzzo,35,274,40366,6.79,63,19.69,76,12.62,109,4.9,26,2.92
2018-2019,2019-10,Molise,7,40,7991,5.01,4,6.73,7,6.86,25,5.46,4,2.22
2018-2019,2019-10,Campania,29,209,37263,5.61,21,7.3,46,8.06,122,5.4,20,3.29
2018-2019,2019-10,Apulia,75,458,98117,4.67,79,24.84,90,9.67,227,3.56,62,2.84
2018-2019,2019-10,Basilicata,7,45,8276,5.44,6,11.88,6,3.45,30,6.56,3,2.05
2018-2019,2019-10,Calabria,3,27,3274,8.25,7,11.48,11,11.68,8,5.97,1,2.62
2018-2019,2019-10,Sicily,70,437,89664,4.87,20,12.76,32,6.3,290,4.79,95,4.23
2018-2019,2019-10,Sardinia,11,54,12778,4.23,15,6.65,22,6.69,17,3.41,0,0
2018-2019,2019-11,Piedmont,30,175,42302,4.14,43,30.07,28,7.19,85,3.24,19,1.77
2018-2019,2019-11,Aosta Valley,3,6,4379,1.37,0,0,0,0,5,1.67,1,0.8
2018-2019,2019-11,Lombardy,97,438,133003,3.29,72,8.01,55,2.63,256,3.45,55,1.91
2018-2019,2019-11,AP Bolzano,7,20,10691,1.87,5,11.31,3,3.55,12,1.74,0,0
2018-2019,2019-11,AP Trento,6,32,7533,4.25,9,10.4,3,1.36,15,4.72,5,3.9
2018-2019,2019-11,Veneto,95,224,125075,1.79,18,3.13,31,1.91,157,2.14,18,0.61
2018-2019,2019-11,Friuli-Venezia Giulia,16,46,19388,2.37,11,4.54,7,1.35,23,2.95,5,1.26
2018-2019,2019-11,Liguria,16,83,22658,3.66,3,4.77,6,3.88,55,3.99,19,2.83
2018-2019,2019-11,Emilia-Romagna,57,301,76439,3.94,55,10.49,84,6.19,141,3.56,21,1.17
2018-2019,2019-11,Tuscany,37,219,47985,4.56,32,15.77,41,7.81,126,4.49,20,1.58
2018-2019,2019-11,Umbria,7,50,7489,6.68,22,21.53,24,9.1,4,1.54,0,0
2018-2019,2019-11,Marche,14,97,16879,5.75,32,18.01,24,6.11,38,4.83,3,0.91
2018-2019,2019-11,Lazio,102,452,130793,3.46,68,13.7,71,5.46,276,3.33,37,1.23
2018-2019,2019-11,Abruzzo,29,154,32684,4.71,23,9.35,35,7.44,76,4.2,20,2.69
2018-2019,2019-11,Molise,6,28,6689,4.19,1,1.68,1,1.05,22,6.02,4,2.7
2018-2019,2019-11,Campania,45,176,57101,3.08,37,6.77,54,5.05,72,2.26,13,1.44
2018-2019,2019-11,Apulia,100,429,129780,3.31,78,13.65,96,6.77,219,2.66,36,1.31
2018-2019,2019-11,Basilicata,4,17,4766,3.57,2,4.08,4,2.34,10,4.83,1,2.02
2018-2019,2019-11,Calabria,2,21,1617,12.99,11,18.03,10,10.91,0,0,0,0
2018-2019,2019-11,Sicily,66,371,83732,4.43,16,10.2,39,8.02,243,4.29,73,3.52
2018-2019,2019-11,Sardinia,6,61,7522,8.11,17,15.64,25,11.3,18,5.81,1,0.89
2018-2019,2019-12,Piedmont,28,76,40172,1.89,4,5.65,6,2.38,54,2.1,12,1.07
2018-2019,2019-12,Aosta Valley,2,4,2707,1.48,0,0,0,0,4,2.12,0,0
2018-2019,2019-12,Lombardy,82,305,112918,2.7,53,6.7,43,2.28,181,2.92,28,1.16
2018-2019,2019-12,AP Bolzano,8,18,12005,1.5,3,6.68,4,4.52,7,0.89,4,1.43
2018-2019,2019-12,AP Trento,8,31,10674,2.9,12,12.47,5,2.34,13,2.42,1,0.45
2018-2019,2019-12,Veneto,73,104,93225,1.12,11,2.06,12,0.87,63,1.2,18,0.84
2018-2019,2019-12,Friuli-Venezia Giulia,13,40,16260,2.46,6,3.52,5,1.6,24,3.11,5,1.35
2018-2019,2019-12,Liguria,15,67,20191,3.32,4,6.36,7,4.55,44,3.68,12,1.98
2018-2019,2019-12,Emilia-Romagna,47,183,63267,2.89,30,8.04,48,4.46,99,2.95,6,0.39
2018-2019,2019-12,Tuscany,33,167,41310,4.04,28,16.36,29,6.47,97,4.01,13,1.19
2018-2019,2019-12,Umbria,5,17,5170,3.29,7,9.43,9,4.74,1,0.57,0,0
2018-2019,2019-12,Marche,8,39,8694,4.49,13,8.17,10,3.14,16,5.53,0,0
2018-2019,2019-12,Lazio,91,289,117072,2.47,38,7.76,63,4.93,168,2.31,20,0.75
2018-2019,2019-12,Abruzzo,27,170,29766,5.71,33,13.42,51,10.3,69,4.32,17,2.67
2018-2019,2019-12,Molise,7,18,7991,2.25,0,0,1,0.98,15,3.28,2,1.11
2018-2019,2019-12,Campania,29,100,38388,2.6,10,4.39,20,3.86,62,2.53,8,1.24
2018-2019,2019-12,Apulia,56,189,73067,2.59,36,12,40,5.77,100,2.1,13,0.83
2018-2019,2019-12,Basilicata,4,3,3980,0.75,0,0,0,0,3,1.22,0,0
2018-2019,2019-12,Calabria,4,64,4114,15.56,23,25.84,34,23.1,7,5.11,0,0
2018-2019,2019-12,Sicily,73,400,94038,4.25,19,12.12,44,8.49,260,4.07,77,3.29
2018-2019,2019-12,Sardinia,11,102,12456,8.19,26,11.54,71,21.53,5,1.06,0,0
2018-2019,2019-13,Piedmont,33,115,44411,2.59,20,10.22,16,3.06,65,2.53,14,1.21
2018-2019,2019-13,Aosta Valley,3,1,3481,0.29,0,0,0,0,1,0.53,0,0
2018-2019,2019-13,Lombardy,89,254,121472,2.09,39,4.46,31,1.51,161,2.44,23,0.87
2018-2019,2019-13,AP Bolzano,6,9,9207,0.98,4,9.3,1,1.27,4,0.68,0,0
2018-2019,2019-13,AP Trento,5,36,5916,6.09,15,15.59,15,7.19,6,3.01,0,0
2018-2019,2019-13,Veneto,89,103,116106,0.89,8,1.48,10,0.65,74,1.1,11,0.4
2018-2019,2019-13,Friuli-Venezia Giulia,13,22,16152,1.36,6,3.52,4,0.98,9,1.33,3,0.83
2018-2019,2019-13,Liguria,14,35,19081,1.83,2,3.57,2,1.2,21,1.89,10,1.74
2018-2019,2019-13,Emilia-Romagna,48,137,68037,2.01,31,8.66,25,2.64,69,1.81,12,0.71
2018-2019,2019-13,Tuscany,34,113,44346,2.55,15,10.27,19,4.83,75,2.79,4,0.33
2018-2019,2019-13,Umbria,4,19,4071,4.67,8,10.78,8,4.33,3,3.05,0,0
2018-2019,2019-13,Marche,10,28,12071,2.32,7,6.31,4,1.42,15,2.64,2,0.81
2018-2019,2019-13,Lazio,101,353,128562,2.75,36,6.91,65,4.79,233,2.89,19,0.65
2018-2019,2019-13,Abruzzo,27,83,30568,2.72,12,7.05,18,5.32,41,2.26,12,1.63
2018-2019,2019-13,Molise,7,14,7991,1.75,0,0,1,0.98,12,2.62,1,0.56
2018-2019,2019-13,Campania,11,40,13448,2.97,6,4.47,16,5.76,15,2.02,3,1.59
2018-2019,2019-13,Apulia,86,225,111349,2.02,32,7.02,42,3.66,131,1.83,20,0.85
2018-2019,2019-13,Basilicata,2,0,1937,0,0,0,0,0,0,0,0,0
2018-2019,2019-13,Calabria,3,10,2921,3.42,4,6.56,6,6.43,0,0,0,0
2018-2019,2019-13,Sicily,67,369,86234,4.28,20,12.25,29,6.02,233,3.98,87,4.09
2018-2019,2019-13,Sardinia,13,86,15236,5.64,28,12.61,40,12.1,15,2.21,3,1.02
2018-2019,2019-14,Piedmont,28,131,39424,3.32,26,13.82,26,5.58,70,3.05,9,0.91
2018-2019,2019-14,Aosta Valley,1,0,1672,0,0,0,0,0,0,0,0,0
2018-2019,2019-14,Lombardy,72,193,97836,1.97,35,4.89,23,1.41,115,2.17,20,0.93
2018-2019,2019-14,AP Bolzano,3,6,4481,1.34,6,13.95,0,0,0,0,0,0
2018-2019,2019-14,AP Trento,7,19,9042,2.1,7,8.13,6,2.76,5,1.19,1,0.55
2018-2019,2019-14,Veneto,71,60,90509,0.66,12,2.29,3,0.22,37,0.72,8,0.39
2018-2019,2019-14,Friuli-Venezia Giulia,12,22,14381,1.53,3,1.36,2,0.44,10,2.07,7,2.49
2018-2019,2019-14,Liguria,14,39,19518,2,3,3.18,2,0.91,24,2.2,10,1.83
2018-2019,2019-14,Emilia-Romagna,40,115,54925,2.09,29,8.61,17,1.97,62,2.08,7,0.53
2018-2019,2019-14,Tuscany,30,81,38822,2.09,14,8.93,16,4.04,42,1.84,9,0.86
2018-2019,2019-14,Umbria,4,3,3836,0.78,0,0,0,0,3,3.23,0,0
2018-2019,2019-14,Marche,13,32,17403,1.84,2,3.43,4,3.16,17,1.55,9,1.98
2018-2019,2019-14,Lazio,97,210,124692,1.68,30,5.76,35,2.59,136,1.75,9,0.32
2018-2019,2019-14,Abruzzo,26,86,30167,2.85,9,4.37,17,4,44,2.61,16,2.28
2018-2019,2019-14,Molise,6,12,6689,1.79,0,0,3,3.14,7,1.91,2,1.35
2018-2019,2019-14,Campania,26,68,33250,2.05,13,4.78,16,2.86,30,1.54,9,1.66
2018-2019,2019-14,Apulia,55,157,71388,2.2,19,6.7,33,4.33,72,1.57,33,2.17
2018-2019,2019-14,Basilicata,1,0,1098,0,0,0,0,0,0,0,0,0
2018-2019,2019-14,Calabria,2,7,1617,4.33,3,4.92,4,4.36,0,0,0,0
2018-2019,2019-14,Sicily,65,322,82959,3.88,23,11.92,27,4.96,203,3.66,69,3.42
2018-2019,2019-14,Sardinia,8,9,9004,1,0,0,0,0,6,1.35,3,1.45
2018-2019,2019-15,Piedmont,29,98,41542,2.36,25,24.08,16,4.88,46,1.77,11,0.98
2018-2019,2019-15,Aosta Valley,2,0,3141,0,0,0,0,0,0,0,0,0
2018-2019,2019-15,Lombardy,80,212,109510,1.94,25,3.21,36,2.02,133,2.19,18,0.78
2018-2019,2019-15,AP Bolzano,6,5,9207,0.54,3,6.98,2,2.54,0,0,0,0
2018-2019,2019-15,AP Trento,4,20,5039,3.97,3,4.68,4,2.61,12,6.04,1,1.14
2018-2019,2019-15,Veneto,73,40,95476,0.42,2,0.47,1,0.09,35,0.62,2,0.09
2018-2019,2019-15,Friuli-Venezia Giulia,9,12,10895,1.1,1,1.04,0,0,11,2.23,0,0
2018-2019,2019-15,Liguria,13,29,17775,1.63,1,1.59,1,0.65,22,2.13,5,0.95
2018-2019,2019-15,Emilia-Romagna,46,113,63000,1.79,25,6.49,14,1.42,65,1.9,9,0.59
2018-2019,2019-15,Tuscany,27,55,34464,1.6,14,8.18,8,1.83,27,1.38,6,0.68
2018-2019,2019-15,Umbria,3,4,2630,1.52,2,2.7,2,1.09,0,0,0,0
2018-2019,2019-15,Marche,8,29,10891,2.66,0,0,2,1.31,17,2.75,10,3.74
2018-2019,2019-15,Lazio,99,145,127022,1.14,11,2.25,18,1.39,102,1.28,14,0.48
2018-2019,2019-15,Abruzzo,26,69,31331,2.2,13,7.88,19,5.25,33,1.74,4,0.57
2018-2019,2019-15,Molise,7,0,7991,0,0,0,0,0,0,0,0,0
2018-2019,2019-15,Campania,22,63,28532,2.21,6,2.29,13,2.57,36,2.19,8,1.83
2018-2019,2019-15,Apulia,50,88,63746,1.38,25,9.34,15,2.23,43,1.06,5,0.36
2018-2019,2019-15,Basilicata,1,0,1098,0,0,0,0,0,0,0,0,0
2018-2019,2019-15,Calabria,1,0,717,0,0,0,0,0,0,0,0,0
2018-2019,2019-15,Sicily,69,244,87826,2.78,23,11.92,34,6.15,138,2.35,49,2.26
2018-2019,2019-15,Sardinia,4,15,4811,3.12,2,2.78,0,0,10,5.84,3,3.35
2018-2019,2019-16,Piedmont,16,40,23639,1.69,0,0,2,4.47,33,2.01,5,0.74
2018-2019,2019-16,Aosta Valley,2,2,2707,0.74,0,0,0,0,2,1.06,0,0
2018-2019,2019-16,Lombardy,56,146,76557,1.91,21,4.25,17,1.57,85,1.96,23,1.33
2018-2019,2019-16,AP Bolzano,2,0,3226,0,0,0,0,0,0,0,0,0
2018-2019,2019-16,AP Trento,5,8,5876,1.36,3,3.12,5,2.44,0,0,0,0
2018-2019,2019-16,Veneto,58,27,74043,0.36,7,1.84,3,0.28,14,0.33,3,0.18
2018-2019,2019-16,Friuli-Venezia Giulia,7,0,7732,0,0,0,0,0,0,0,0,0
2018-2019,2019-16,Liguria,16,26,21287,1.22,0,0,0,0,18,1.36,8,1.19
2018-2019,2019-16,Emilia-Romagna,26,66,38611,1.71,11,9.34,9,2.72,39,1.67,7,0.65
2018-2019,2019-16,Tuscany,17,20,21670,0.92,2,6.47,1,0.8,16,1.16,1,0.16
2018-2019,2019-16,Umbria,2,0,1817,0,0,0,0,0,0,0,0,0
2018-2019,2019-16,Marche,3,15,4037,3.72,0,0,1,1.24,13,5.65,1,1.41
2018-2019,2019-16,Lazio,87,98,112120,0.87,20,4.41,11,0.94,60,0.85,7,0.27
2018-2019,2019-16,Abruzzo,21,50,23771,2.1,6,4.58,11,4.55,23,1.6,10,1.76
2018-2019,2019-16,Molise,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,2019-16,Campania,4,22,5593,3.93,0,0,6,8.75,11,2.76,5,7.39
2018-2019,2019-16,Apulia,32,54,38322,1.41,22,10.04,19,3.74,8,0.35,5,0.63
2018-2019,2019-16,Basilicata,1,0,839,0,0,0,0,0,0,0,0,0
2018-2019,2019-16,Calabria,1,0,717,0,0,0,0,0,0,0,0,0
2018-2019,2019-16,Sicily,57,166,74542,2.23,15,15.2,15,4.4,92,1.81,44,2.27
2018-2019,2019-16,Sardinia,1,0,952,0,0,0,0,0,0,0,0,0
2018-2019,2019-17,Piedmont,29,60,40557,1.48,8,9.33,7,2.54,39,1.49,6,0.56
2018-2019,2019-17,Aosta Valley,3,0,3481,0,0,0,0,0,0,0,0,0
2018-2019,2019-17,Lombardy,68,132,96054,1.37,14,2.4,10,0.74,93,1.68,15,0.7
2018-2019,2019-17,AP Bolzano,4,0,6067,0,0,0,0,0,0,0,0,0
2018-2019,2019-17,AP Trento,5,0,6699,0,0,0,0,0,0,0,0,0
2018-2019,2019-17,Veneto,50,5,62445,0.08,0,0,1,0.1,4,0.11,0,0
2018-2019,2019-17,Friuli-Venezia Giulia,8,0,9112,0,0,0,0,0,0,0,0,0
2018-2019,2019-17,Liguria,16,27,21859,1.24,2,3.57,2,1.18,18,1.39,5,0.76
2018-2019,2019-17,Emilia-Romagna,46,73,62467,1.17,7,1.74,7,0.7,50,1.47,9,0.62
2018-2019,2019-17,Tuscany,28,27,36789,0.73,3,1.73,4,0.89,13,0.61,7,0.75
2018-2019,2019-17,Umbria,4,0,3998,0,0,0,0,0,0,0,0,0
2018-2019,2019-17,Marche,9,17,13125,1.3,0,0,0,0,15,1.75,2,0.61
2018-2019,2019-17,Lazio,98,72,124905,0.58,10,1.92,11,0.81,46,0.59,5,0.18
2018-2019,2019-17,Abruzzo,22,37,25098,1.47,3,2.14,6,2.18,21,1.4,7,1.18
2018-2019,2019-17,Molise,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,2019-17,Campania,33,29,43081,0.67,3,0.83,5,0.72,17,0.66,4,0.58
2018-2019,2019-17,Apulia,91,99,116230,0.85,24,4.45,26,1.98,38,0.52,11,0.45
2018-2019,2019-17,Basilicata,2,0,1866,0,0,0,0,0,0,0,0,0
2018-2019,2019-17,Calabria,1,0,717,0,0,0,0,0,0,0,0,0
2018-2019,2019-17,Sicily,77,164,98017,1.67,8,4.15,23,3.99,116,1.76,17,0.7
2018-2019,2019-17,Sardinia,15,5,17675,0.28,0,0,0,0,3,0.39,2,0.61
2019-2020,2019-44,Piedmont,44,123,60417,2.04,20,3.94,14,1.61,73,2.27,16,1.11
2019-2020,2019-44,Aosta Valley,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,2019-44,Lombardy,99,261,130485,2,42,4.51,15,0.69,175,2.47,29,1.01
2019-2020,2019-44,AP Bolzano,3,3,4154,0.72,0,0,0,0,2,0.92,1,1.4
2019-2020,2019-44,AP Trento,9,30,12327,2.43,6,7.59,0,0,18,2.72,6,2.31
2019-2020,2019-44,Veneto,64,72,83240,0.86,0,0,4,0.43,53,1.06,15,0.71
2019-2020,2019-44,Friuli-Venezia Giulia,10,11,11919,0.92,0,0,0,0,9,1.85,2,0.8
2019-2020,2019-44,Liguria,15,14,17851,0.78,1,0.86,1,0.39,10,1.08,2,0.41
2019-2020,2019-44,Emilia-Romagna,49,80,60002,1.33,19,3.9,9,0.77,44,1.47,8,0.6
2019-2020,2019-44,Tuscany,39,97,65087,1.49,20,9.92,14,2.61,55,1.48,8,0.39
2019-2020,2019-44,Umbria,4,0,4574,0,0,0,0,0,0,0,0,0
2019-2020,2019-44,Marche,10,2,11165,0.18,0,0,0,0,1,0.26,1,0.67
2019-2020,2019-44,Lazio,97,133,124613,1.07,5,1.03,8,0.63,97,1.24,23,0.79
2019-2020,2019-44,Abruzzo,40,91,46181,1.97,6,2.86,7,1.15,57,2.02,21,2.15
2019-2020,2019-44,Molise,8,11,8258,1.33,0,0,0,0,7,1.51,4,1.96
2019-2020,2019-44,Campania,18,30,21438,1.4,6,2.39,12,2.47,11,1.03,1,0.3
2019-2020,2019-44,Apulia,55,60,65147,0.92,10,3.24,7,0.93,30,0.74,13,0.91
2019-2020,2019-44,Basilicata,7,0,7865,0,0,0,0,0,0,0,0,0
2019-2020,2019-44,Calabria,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,2019-44,Sicily,75,149,95779,1.56,0,0,5,0.89,105,1.63,39,1.62
2019-2020,2019-44,Sardinia,2,1,1256,0.8,0,0,0,0,1,1.12,0,0
2019-2020,2019-45,Piedmont,59,235,77319,3.04,53,10.51,41,4.44,121,2.74,20,1.06
2019-2020,2019-45,Aosta Valley,2,3,3200,0.94,0,0,0,0,3,1.29,0,0
2019-2020,2019-45,Lombardy,113,299,146862,2.04,55,4.65,36,1.38,174,2.24,34,1.08
2019-2020,2019-45,AP Bolzano,5,5,6963,0.72,3,3.34,0,0,2,0.57,0,0
2019-2020,2019-45,AP Trento,10,12,13989,0.86,6,11.21,3,1.7,3,0.36,0,0
2019-2020,2019-45,Veneto,74,130,97005,1.34,5,1.28,7,0.62,97,1.7,21,0.85
2019-2020,2019-45,Friuli-Venezia Giulia,14,27,17257,1.56,1,0.47,3,0.64,19,2.59,4,1.29
2019-2020,2019-45,Liguria,17,27,20595,1.31,0,0,0,0,27,2.34,0,0
2019-2020,2019-45,Emilia-Romagna,56,158,68014,2.32,20,3.77,18,1.28,104,3.08,16,1.08
2019-2020,2019-45,Tuscany,37,127,60070,2.11,22,10.16,19,3.16,74,2.21,12,0.65
2019-2020,2019-45,Umbria,8,1,8369,0.12,0,0,0,0,1,0.29,0,0
2019-2020,2019-45,Marche,15,24,18263,1.31,3,1.79,9,2.24,12,1.36,0,0
2019-2020,2019-45,Lazio,99,181,127666,1.42,8,1.62,15,1.17,132,1.64,26,0.88
2019-2020,2019-45,Abruzzo,45,151,52774,2.86,11,4.15,12,1.6,97,3.05,31,2.85
2019-2020,2019-45,Molise,8,20,8258,2.42,0,0,0,0,14,3.01,6,2.94
2019-2020,2019-45,Campania,40,60,52635,1.14,15,3.05,12,1.26,30,1.05,3,0.31
2019-2020,2019-45,Apulia,92,106,110092,0.96,11,2.29,12,1.02,66,0.96,17,0.69
2019-2020,2019-45,Basilicata,12,0,14914,0,0,0,0,0,0,0,0,0
2019-2020,2019-45,Calabria,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,2019-45,Sicily,80,321,100574,3.19,10,5.01,16,2.53,199,2.96,96,3.83
2019-2020,2019-45,Sardinia,7,0,9214,0,0,0,0,0,0,0,0,0
2019-2020,2019-46,Piedmont,52,244,70037,3.48,35,7.46,33,4.03,150,3.72,26,1.54
2019-2020,2019-46,Aosta Valley,5,9,7477,1.2,0,0,2,2.59,6,1.31,1,0.58
2019-2020,2019-46,Lombardy,100,389,130307,2.99,66,6.04,63,2.63,223,3.28,37,1.35
2019-2020,2019-46,AP Bolzano,5,9,6963,1.29,5,5.57,3,1.98,1,0.28,0,0
2019-2020,2019-46,AP Trento,11,41,15308,2.68,16,18.96,12,5.12,11,1.27,2,0.58
2019-2020,2019-46,Veneto,77,138,100305,1.38,5,1.09,6,0.46,102,1.76,25,1.01
2019-2020,2019-46,Friuli-Venezia Giulia,13,15,16452,0.91,0,0,0,0,15,2.05,0,0
2019-2020,2019-46,Liguria,14,27,16494,1.64,4,4.94,0,0,19,2.15,4,0.82
2019-2020,2019-46,Emilia-Romagna,62,217,77522,2.8,38,6.65,26,1.69,139,3.58,14,0.8
2019-2020,2019-46,Tuscany,38,170,61626,2.76,27,10.68,33,4.87,89,2.67,21,1.11
2019-2020,2019-46,Umbria,5,6,5298,1.13,2,4.65,3,2.51,1,0.37,0,0
2019-2020,2019-46,Marche,11,22,11388,1.93,3,1.76,3,0.8,14,3.35,2,1.14
2019-2020,2019-46,Lazio,94,163,120356,1.35,9,1.89,10,0.79,121,1.6,23,0.84
2019-2020,2019-46,Abruzzo,44,177,54429,3.25,17,7.19,19,2.57,107,3.24,34,2.93
2019-2020,2019-46,Molise,9,16,8970,1.78,0,0,1,1.01,12,2.32,3,1.36
2019-2020,2019-46,Campania,43,153,54189,2.82,40,6.62,41,3.41,54,2,18,1.97
2019-2020,2019-46,Apulia,83,83,98850,0.84,10,2.79,11,1.15,52,0.83,10,0.44
2019-2020,2019-46,Basilicata,5,2,6687,0.3,0,0,1,3.29,1,0.21,0,0
2019-2020,2019-46,Calabria,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,2019-46,Sicily,81,283,102319,2.77,7,3.51,16,2.51,183,2.68,77,3
2019-2020,2019-46,Sardinia,7,0,8010,0,0,0,0,0,0,0,0,0
2019-2020,2019-47,Piedmont,49,261,63509,4.11,50,9.69,48,5.24,144,4.15,19,1.31
2019-2020,2019-47,Aosta Valley,6,10,8930,1.12,0,0,1,1.29,9,1.59,0,0
2019-2020,2019-47,Lombardy,97,556,126630,4.39,66,5.65,73,2.84,360,5.62,57,2.26
2019-2020,2019-47,AP Bolzano,6,17,8934,1.9,5,11.01,9,10.33,3,0.53,0,0
2019-2020,2019-47,AP Trento,10,41,13872,2.96,9,10.66,13,5.59,15,1.98,4,1.28
2019-2020,2019-47,Veneto,74,129,96321,1.34,12,2.8,7,0.57,98,1.75,12,0.5
2019-2020,2019-47,Friuli-Venezia Giulia,15,19,18395,1.03,3,1.42,1,0.21,14,1.75,1,0.29
2019-2020,2019-47,Liguria,15,35,17711,1.98,3,3.7,1,0.51,28,2.89,3,0.57
2019-2020,2019-47,Emilia-Romagna,48,188,61232,3.07,38,10.25,19,2,117,3.54,14,0.93
2019-2020,2019-47,Tuscany,39,199,64254,3.1,46,18.2,32,4.71,99,2.82,22,1.11
2019-2020,2019-47,Umbria,6,11,6614,1.66,4,9.3,4,3.27,3,0.86,0,0
2019-2020,2019-47,Marche,14,34,14168,2.4,13,5.03,10,1.74,9,2.27,2,1.07
2019-2020,2019-47,Lazio,98,233,126697,1.84,16,3.41,19,1.56,173,2.15,25,0.85
2019-2020,2019-47,Abruzzo,43,145,50207,2.89,7,2.97,17,2.1,96,3.23,25,2.49
2019-2020,2019-47,Molise,9,9,8970,1,0,0,0,0,7,1.35,2,0.91
2019-2020,2019-47,Campania,33,43,42443,1.01,6,1.39,5,0.62,28,1.19,4,0.62
2019-2020,2019-47,Apulia,88,119,104961,1.13,18,4.11,13,1.19,71,1.08,17,0.71
2019-2020,2019-47,Basilicata,6,9,7404,1.22,0,0,0,0,8,1.77,1,0.57
2019-2020,2019-47,Calabria,0,0,0,0,0,0,0,0,0,0,0,0
2019-2020,2019-47,Sicily,72,385,92466,4.16,3,2.18,20,4.03,253,4.04,109,4.65
